City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Butaritari,KI,82.54,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
7,Busselton,AU,83.05,clear sky,-33.65,115.3333,Observatory Guest House
8,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
10,Bubaque,GW,78.06,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
16,Vaini,TO,81.9,light rain,-21.2,-175.2,Keleti Beach Resort
20,Hobart,AU,83.01,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
24,Rikitea,PF,76.84,overcast clouds,-23.1203,-134.9692,People ThankYou
26,Georgetown,MY,89.53,haze,5.4112,100.3354,Cititel Penang
27,Tual,ID,82.89,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
32,Atuona,PF,78.08,few clouds,-9.8,-139.0333,Villa Enata
40,Sawtell,AU,83.19,broken clouds,-30.3833,153.1,The Bungalow Sawtell
51,Erattupetta,IN,79.9,clear sky,9.7,76.7833,White Castle Residency
58,Nelson Bay,AU,86.29,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
61,Alice Springs,AU,83.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
64,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
67,Bengkulu,ID,84.09,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
69,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
71,Mahebourg,MU,83.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
74,Isangel,VU,80.19,moderate rain,-19.55,169.2667,Tanna Lodge
76,Galle,LK,83.53,clear sky,6.0367,80.217,Amangalla
81,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
82,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
83,Bathsheba,BB,75.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
89,Alugan,PH,83.35,few clouds,12.2188,125.4808,JM Lodge
95,Alofi,NU,80.92,moderate rain,-19.0595,-169.9187,Taloa Heights
97,Long Xuyen,VN,84.15,broken clouds,10.3833,105.4167,Nhà Nghỉ Sài Gòn Ngày Đêm
105,Sola,VU,81.73,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
106,Kapaa,US,76.98,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
111,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
118,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
120,New Norfolk,AU,82.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
127,Faanui,PF,80.82,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
128,Jeremie,HT,75.69,clear sky,18.65,-74.1167,Auberge’Inn
132,Wewak,PG,83.97,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
133,Ballina,AU,86.18,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
136,Caravelas,BR,76.98,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
142,Dingle,PH,87.06,few clouds,10.9995,122.6711,SEGAYA PROPERTY
155,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
164,Dao,PH,86.85,few clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
169,Byron Bay,AU,86.11,broken clouds,-28.65,153.6167,Backpackers Inn
173,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
178,Puerto Rondon,CO,78.8,broken clouds,6.2805,-71.1,Urbanización Santa Clara
188,Bambous Virieux,MU,83.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
190,Tabou,CI,77.61,scattered clouds,4.423,-7.3528,hotêl doufoulougou
192,Acarau,BR,76.64,overcast clouds,-2.8856,-40.12,castelo pizzaria
195,Teahupoo,PF,75.16,light rain,-17.8333,-149.2667,Vanira Lodge
198,Bonthe,SL,75.51,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
199,Hithadhoo,MV,81.05,broken clouds,-0.6,73.0833,Scoop Guest House
200,Sinnamary,GF,75.45,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
203,Santa Rosa,PH,89.1,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
205,Jardim,BR,76.71,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
208,Honolulu,US,78.62,few clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
213,Carnarvon,AU,84.27,light rain,-24.8667,113.6333,Hospitality Carnarvon
216,Koumac,NC,84.18,overcast clouds,-20.5667,164.2833,Le Monitel
217,Kahului,US,77.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
224,Ahipara,NZ,75.52,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
234,Labuhan,ID,85.44,overcast clouds,-6.8844,112.2051,DoubleFAG
236,Pangai,TO,82.4,light rain,-19.8,-174.35,Ha'apai Beach Resort
244,Nhulunbuy,AU,79.41,light rain,-12.2333,136.7667,East Arnhem Real Estate
245,Mount Isa,AU,85.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
247,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
250,Bacolod,PH,85.15,few clouds,10.6667,122.95,Planta Hotel & Residences
253,Souillac,MU,83.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
256,Neiafu,TO,82.78,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
258,Antalaha,MG,76.23,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
260,Waingapu,ID,87.21,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
262,Lufilufi,WS,83.41,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
267,Rawson,AR,77.23,few clouds,-43.3002,-65.1023,Hosteria Sampedro
273,Kiama,AU,81.0,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
280,Srivardhan,IN,76.84,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
281,Grand Gaube,MU,83.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
287,Yulara,AU,91.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
300,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
302,Kununurra,AU,89.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
303,Cockburn Town,TC,77.36,clear sky,21.4612,-71.1419,Osprey Beach Hotel
304,Angoche,MZ,75.27,overcast clouds,-16.2325,39.9086,Guest House HESADA
319,Black River,JM,77.0,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
320,Noumea,NC,84.99,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
322,Lorengau,PG,83.55,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
328,Mildura,AU,93.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
336,Manokwari,ID,84.43,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
338,Rockhampton,AU,87.69,overcast clouds,-23.3833,150.5,Mercure Rockhampton
339,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
343,Mogadishu,SO,76.64,few clouds,2.0371,45.3438,Hotel Juba
355,Kavieng,PG,81.57,moderate rain,-2.5744,150.7967,Nusa Island Retreat
368,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
374,Anito,PH,87.42,clear sky,12.4497,125.2886,FELIPA LAODENIO PROPERTY
377,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
384,Mount Gambier,AU,79.56,scattered clouds,-37.8333,140.7667,The Commodore
389,Port Blair,IN,80.64,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
392,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
394,Finschhafen,PG,84.88,overcast clouds,-6.6024,147.8681,Cossam Guest House
395,Sulangan,PH,81.43,scattered clouds,11.1373,123.7228,Maia's Beach Resort
400,Kavaratti,IN,81.37,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
405,Champerico,GT,76.77,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
413,Natal,BR,77.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
423,Ranong,TH,87.73,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
424,Parrita,CR,82.17,scattered clouds,9.5201,-84.3225,Beso del Viento
428,Eydhafushi,MV,82.36,broken clouds,5.1033,73.0708,Soneva Fushi
431,Bontang,ID,83.37,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
432,Flinders,AU,84.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
435,Port-Gentil,GA,80.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
445,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
446,Axim,GH,77.72,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
448,Hambantota,LK,82.81,clear sky,6.1241,81.1185,Bungalow 63
455,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
466,Kimbe,PG,86.43,light rain,-5.5502,150.1429,Kimbe Bay Hotel
473,Sabang,ID,82.11,scattered clouds,5.8933,95.3214,Hotel Citra
475,Soyo,AO,78.15,overcast clouds,-6.1349,12.3689,Hotel Mpampa
490,Santo Domingo,DO,77.04,overcast clouds,18.5001,-69.9886,Cabañas City Heart
496,Maningrida,AU,80.15,moderate rain,-12.0667,134.2667,Dhukurrdji Lodge
500,Sungai Besar,MY,89.65,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
502,Buala,SB,85.3,light rain,-8.145,159.5921,Maringe Lagoon Lodge
507,Pundaguitan,PH,81.36,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
509,Broken Hill,AU,87.35,broken clouds,-31.95,141.4333,Royal Exchange Hotel
519,Quatre Cocos,MU,83.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
523,Poum,NC,81.84,overcast clouds,-20.2333,164.0167,Gîte kajeon
525,Sainte-Luce,MQ,75.43,few clouds,14.4673,-60.9271,Pierre et Vacances Resort Sainte-Luce
526,Sibolga,ID,83.75,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
528,Kilindoni,TZ,77.25,moderate rain,-7.9139,39.6668,Bustani B&B
529,Chake Chake,TZ,77.85,overcast clouds,-5.2459,39.7666,Hotel Archipelago
532,Itarema,BR,75.87,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
533,Alyangula,AU,84.15,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
537,Colon,PA,77.02,scattered clouds,9.3592,-79.9014,Sand Diamond Hotel
543,Gondanglegi,ID,87.44,overcast clouds,-7.7479,112.0132,Rumah Mujiatin
544,Vao,NC,80.11,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
546,Forbes,AU,88.92,few clouds,-33.3833,148.0167,Lake Forbes Motel
555,Loa Janan,ID,90.21,overcast clouds,-0.583,117.095,Kost bu jono
557,Namatanai,PG,82.74,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
558,Bambanglipuro,ID,76.6,overcast clouds,-7.95,110.2833,Puri Brata
563,Kampot,KH,86.05,broken clouds,10.6167,104.1833,Two Moons Hotel
564,Sokoni,TZ,79.32,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
565,Vaitape,PF,80.8,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
568,Kudahuvadhoo,MV,81.36,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
577,Nisia Floresta,BR,77.38,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
582,Puerto Narino,CO,76.95,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
583,Lucea,JM,76.86,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
585,La Macarena,CO,76.12,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
586,Weligama,LK,84.43,clear sky,5.9667,80.4167,Weligama Bay Resort
594,Lascahobas,HT,76.64,broken clouds,18.8294,-71.9364,oasisinn lascahobas
599,Piacabucu,BR,77.23,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
609,Bosaso,SO,75.18,few clouds,11.2842,49.1816,Red Sea Hotel
610,Dhidhdhoo,MV,82.63,broken clouds,6.8833,73.1,Dhidhoo beach
621,Dubbo,AU,89.73,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
622,Port Antonio,JM,76.91,clear sky,18.18,-76.4612,The Trident Hotel
627,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
633,Port Macquarie,AU,78.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
637,San Pedro,PH,89.31,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
639,Tevaitoa,PF,80.49,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
647,Porto Novo,BJ,75.02,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
652,Mataram,ID,86.81,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
655,Luanda,AO,77.04,overcast clouds,-8.8368,13.2343,Hotel Fórum
656,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
657,Limbang,MY,86.31,overcast clouds,4.75,115.0,Purnama Hotel
661,Bac Lieu,VN,84.04,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
663,Bowen,AU,88.02,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
668,Blackwater,AU,90.27,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
671,Katherine,AU,88.12,light rain,-14.4667,132.2667,Pine Tree Motel
675,Meulaboh,ID,84.69,few clouds,4.1363,96.1285,Kost Pria
