city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Byron Bay,AU,2022-01-26 00:37:42,-28.65,153.6167,78.76,86,100,5.14
1,Punta Arenas,CL,2022-01-26 00:36:55,-53.15,-70.9167,48.31,57,0,27.63
2,Camacha,PT,2022-01-26 00:37:43,33.0833,-16.3333,58.42,59,40,18.41
3,Avarua,CK,2022-01-26 00:37:43,-21.2078,-159.775,78.85,89,100,5.75
4,Yellowknife,CA,2022-01-26 00:37:44,62.456,-114.3525,0.55,85,75,10.36
5,Upernavik,GL,2022-01-26 00:37:44,72.7868,-56.1549,1.51,94,98,8.7
6,Puerto Ayora,EC,2022-01-26 00:37:44,-0.7393,-90.3518,73.87,88,76,6.35
7,Katsuura,JP,2022-01-26 00:37:45,35.1333,140.3,45.19,91,100,15.23
8,Butaritari,KI,2022-01-26 00:37:45,3.0707,172.7902,82.15,79,20,16.62
9,Hobart,AU,2022-01-26 00:37:40,-42.8794,147.3294,66.02,73,75,8.05
10,Mataura,NZ,2022-01-26 00:37:46,-46.1927,168.8643,55.47,96,100,3.4
11,Cabo San Lucas,MX,2022-01-26 00:33:11,22.8909,-109.9124,72.7,56,20,11.5
12,San Patricio,US,2022-01-26 00:37:46,28.017,-97.5169,59.09,73,0,9.93
13,Lebu,CL,2022-01-26 00:37:47,-37.6167,-73.65,58.08,88,0,14.94
14,Morro Bay,US,2022-01-26 00:36:30,35.3658,-120.8499,65.28,72,0,3.0
15,Ushuaia,AR,2022-01-26 00:37:47,-54.8,-68.3,42.46,75,75,21.85
16,Narsaq,GL,2022-01-26 00:37:48,60.9167,-46.05,26.82,88,100,10.38
17,Emerald,AU,2022-01-26 00:37:48,-23.5333,148.1667,86.34,45,100,6.91
18,Longyearbyen,SJ,2022-01-26 00:37:49,78.2186,15.6401,15.64,62,40,19.57
19,East London,ZA,2022-01-26 00:37:49,-33.0153,27.9116,72.36,85,100,3.94
20,Komsomolskiy,UZ,2022-01-26 00:37:50,40.4272,71.7189,29.62,80,75,4.61
21,Barrow,US,2022-01-26 00:37:50,71.2906,-156.7887,-5.78,77,40,20.71
22,Warrnambool,AU,2022-01-26 00:37:50,-38.3833,142.4833,87.82,50,83,6.96
23,Rikitea,PF,2022-01-26 00:37:51,-23.1203,-134.9692,78.55,75,100,16.55
24,Severo-Kurilsk,RU,2022-01-26 00:37:51,50.6789,156.125,26.38,55,45,5.75
25,Zyryanskoye,RU,2022-01-26 00:37:52,56.8306,86.6258,7.54,95,100,8.57
26,Cape Town,ZA,2022-01-26 00:37:52,-33.9258,18.4232,68.41,76,0,5.01
27,Riyadh,SA,2022-01-26 00:37:52,24.6877,46.7219,55.54,40,0,10.2
28,Ryotsu,JP,2022-01-26 00:37:53,38.0833,138.4333,35.56,78,97,6.02
29,Busselton,AU,2022-01-26 00:37:53,-33.65,115.3333,66.09,54,24,11.41
30,Goderich,CA,2022-01-26 00:37:53,43.7501,-81.7165,16.92,85,100,5.75
31,Oga,IT,2022-01-26 00:37:54,46.4631,10.347,36.68,65,0,3.91
32,Mar Del Plata,AR,2022-01-26 00:37:54,-38.0023,-57.5575,75.09,95,75,5.99
33,Port Alfred,ZA,2022-01-26 00:37:55,-33.5906,26.891,72.01,85,100,10.87
34,Ribeira Grande,PT,2022-01-26 00:37:55,38.5167,-28.7,59.68,79,100,6.98
35,Nikolskoye,RU,2022-01-26 00:37:56,59.7035,30.7861,15.69,99,71,3.15
36,Mattru,SL,2022-01-26 00:37:56,7.6244,-11.8332,70.39,90,2,0.96
37,Kieta,PG,2022-01-26 00:37:56,-6.2167,155.6333,85.91,71,92,6.06
38,Nekhayevskiy,RU,2022-01-26 00:37:57,50.4106,41.7561,5.79,100,84,4.88
39,Brigantine,US,2022-01-26 00:37:57,39.4101,-74.3646,38.05,64,100,8.05
40,Kattivakkam,IN,2022-01-26 00:37:57,13.2167,80.3167,79.07,81,85,4.0
41,Nizhniy Kuranakh,RU,2022-01-26 00:37:58,58.8353,125.4869,-9.04,98,100,3.87
42,Ribeira Brava,PT,2022-01-26 00:37:58,32.65,-17.0667,61.43,69,24,7.92
43,Noyabrsk,RU,2022-01-26 00:37:59,63.1994,75.4507,-3.91,100,99,10.78
44,Bhinmal,IN,2022-01-26 00:37:59,25.0,72.25,52.2,41,0,5.46
45,Kardla,EE,2022-01-26 00:37:59,58.9978,22.7492,24.03,79,100,4.92
46,Olimpia,BR,2022-01-26 00:38:00,-20.7372,-48.9147,82.62,78,78,4.81
47,Sibolga,ID,2022-01-26 00:39:00,1.7427,98.7792,75.85,89,100,3.85
48,Kamaishi,JP,2022-01-26 00:39:01,39.2667,141.8833,27.55,58,100,1.3
49,Airai,TL,2022-01-26 00:39:01,-8.9266,125.4092,70.66,64,100,4.21
50,Bitung,ID,2022-01-26 00:39:02,1.4451,125.1824,86.85,71,55,3.47
51,Ormara,PK,2022-01-26 00:39:02,25.2088,64.6357,65.32,26,0,9.46
52,Zhenlai,CN,2022-01-26 00:39:02,45.8495,123.2973,2.52,93,54,4.21
53,Srednekolymsk,RU,2022-01-26 00:39:03,67.45,153.6833,-33.9,100,95,6.08
54,Bluff,NZ,2022-01-26 00:39:03,-46.6,168.3333,55.8,78,99,16.06
55,Hermanus,ZA,2022-01-26 00:39:04,-34.4187,19.2345,65.89,85,94,12.88
56,Antofagasta,CL,2022-01-26 00:36:03,-23.65,-70.4,66.13,76,8,4.34
57,Klaksvik,FO,2022-01-26 00:39:04,62.2266,-6.589,41.92,72,74,48.94
58,Lagoa,PT,2022-01-26 00:39:04,39.05,-27.9833,58.62,82,100,8.75
59,Albany,US,2022-01-26 00:36:57,42.6001,-73.9662,25.38,71,11,8.05
60,Chokurdakh,RU,2022-01-26 00:39:05,70.6333,147.9167,-31.83,100,100,7.34
61,Lumphat,KH,2022-01-26 00:39:05,13.4878,106.9816,76.75,69,53,6.46
62,Sao Filipe,CV,2022-01-26 00:39:06,14.8961,-24.4956,75.81,60,2,11.1
63,Gualeguay,AR,2022-01-26 00:39:06,-33.1416,-59.3097,72.19,97,100,5.17
64,Castro,BR,2022-01-26 00:39:07,-24.7911,-50.0119,66.42,64,6,4.56
65,Lata,PT,2022-01-26 00:39:07,40.1629,-8.3327,49.82,87,5,4.76
66,Emba,KZ,2022-01-26 00:39:07,48.8264,58.1442,-3.64,88,81,5.53
67,Rio Gallegos,AR,2022-01-26 00:39:08,-51.6226,-69.2181,51.85,32,20,23.02
68,Kaitangata,NZ,2022-01-26 00:39:08,-46.2817,169.8464,53.01,95,100,6.78
69,Diego De Almagro,CL,2022-01-26 00:39:09,-26.3667,-70.05,66.02,46,0,4.12
70,Vieques,PR,2022-01-26 00:35:03,18.425,-65.8329,77.09,69,0,5.75
71,Buraydah,SA,2022-01-26 00:39:09,26.326,43.975,52.25,41,0,10.98
72,Fethiye,TR,2022-01-26 00:39:10,36.6217,29.1164,37.27,82,85,6.87
73,Port Lincoln,AU,2022-01-26 00:36:10,-34.7333,135.8667,75.65,73,62,1.12
74,Hanyang,CN,2022-01-26 00:39:10,32.1371,105.5126,37.89,96,100,4.65
75,Vaini,TO,2022-01-26 00:39:11,-21.2,-175.2,86.16,74,20,9.22
76,Sulangan,PH,2022-01-26 00:34:15,11.1373,123.7228,79.72,84,97,13.65
77,Sakakah,SA,2022-01-26 00:39:11,29.9697,40.2064,44.17,47,0,2.19
78,Bathsheba,BB,2022-01-26 00:39:12,13.2167,-59.5167,74.01,83,75,9.22
79,Copiapo,CL,2022-01-26 00:39:12,-27.3667,-70.3333,68.49,63,0,4.32
80,Suzhou,CN,2022-01-26 00:35:07,31.3114,120.6181,42.67,76,100,6.82
81,Sioux Lookout,CA,2022-01-26 00:39:13,50.1001,-91.917,-12.62,76,0,4.61
82,Magadan,RU,2022-01-26 00:39:13,59.5667,150.8,-3.96,75,100,9.28
83,Kaeo,NZ,2022-01-26 00:39:13,-35.1,173.7833,73.33,95,5,10.56
84,Kavieng,PG,2022-01-26 00:39:14,-2.5744,150.7967,84.15,73,99,7.52
85,Kabinda,CD,2022-01-26 00:39:14,-6.1333,24.4833,65.5,97,100,0.96
86,Talnakh,RU,2022-01-26 00:39:15,69.4865,88.3972,1.2,96,90,12.19
87,Arraial Do Cabo,BR,2022-01-26 00:39:15,-22.9661,-42.0278,76.15,88,0,19.98
88,Luau,AO,2022-01-26 00:39:15,-10.7073,22.2247,63.36,97,100,2.3
89,Bethel,US,2022-01-26 00:39:16,41.3712,-73.414,34.48,60,0,3.44
90,Faanui,PF,2022-01-26 00:39:16,-16.4833,-151.75,80.74,77,77,13.47
91,Mount Isa,AU,2022-01-26 00:39:17,-20.7333,139.5,83.97,79,40,13.8
92,New Norfolk,AU,2022-01-26 00:39:17,-42.7826,147.0587,65.66,61,100,1.01
93,Isangel,VU,2022-01-26 00:40:18,-19.55,169.2667,85.55,71,15,5.95
94,Barcelos,PT,2022-01-26 00:40:18,41.5388,-8.6151,48.69,78,0,5.1
95,Palmer,US,2022-01-26 00:40:18,42.1584,-72.3287,31.21,58,20,1.01
96,Jatai,BR,2022-01-26 00:40:19,-17.8814,-51.7144,71.71,83,100,4.16
97,Quatre Cocos,MU,2022-01-26 00:40:19,-20.2078,57.7625,75.31,71,20,15.08
98,Bengkulu,ID,2022-01-26 00:40:20,-3.8004,102.2655,78.35,80,95,3.58
99,Saint-Philippe,RE,2022-01-26 00:40:20,-21.3585,55.7679,72.99,69,95,12.44
100,Itaueira,BR,2022-01-26 00:40:20,-7.6033,-43.0256,76.1,73,100,2.13
101,Zhangjiakou,CN,2022-01-26 00:40:21,40.81,114.8794,12.9,67,100,4.05
102,Mao,ES,2022-01-26 00:40:21,39.8885,4.2658,41.56,93,0,3.44
103,Kapaa,US,2022-01-26 00:40:22,22.0752,-159.319,79.12,67,40,3.0
104,Petropavlovsk-Kamchatskiy,RU,2022-01-26 00:40:22,53.0452,158.6483,1.99,72,0,8.95
105,High Rock,BS,2022-01-26 00:40:22,26.6208,-78.2833,66.22,59,100,5.55
106,Maraba,BR,2022-01-26 00:40:23,-5.3686,-49.1178,73.58,94,100,1.16
