City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,-15.2,98,100,3.96,overcast clouds
1,Qaanaaq,GL,77.484,-69.3632,-5.53,87,100,5.14,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,-14.58,82,86,5.01,overcast clouds
3,Butaritari,KI,3.0707,172.7902,82.54,72,41,17.25,scattered clouds
4,Chokurdakh,RU,70.6333,147.9167,-20.61,89,85,1.79,overcast clouds
5,Shcherbinka,RU,55.4997,37.5597,24.8,86,100,8.95,light snow
6,Conakry,GN,9.538,-13.6773,73.36,67,28,2.44,scattered clouds
7,Busselton,AU,-33.65,115.3333,83.05,45,4,12.55,clear sky
8,Geraldton,AU,-28.7667,114.6,84.61,58,0,18.41,clear sky
9,Mataura,NZ,-46.1927,168.8643,58.84,93,100,2.13,overcast clouds
10,Bubaque,GW,11.2833,-15.8333,78.06,58,40,12.37,scattered clouds
11,Novikovo,RU,51.1537,37.8879,13.12,98,79,7.09,broken clouds
12,Hermanus,ZA,-34.4187,19.2345,64.8,89,2,10.4,clear sky
13,Brae,GB,60.3964,-1.353,39.11,63,72,21.9,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,46.11,70,0,11.5,clear sky
15,Marsa Matruh,EG,31.3525,27.2453,50.32,62,99,17.98,overcast clouds
16,Vaini,TO,-21.2,-175.2,81.9,76,99,11.95,light rain
17,Mendota,US,36.7536,-120.3816,51.48,59,69,2.51,broken clouds
18,Cherskiy,RU,68.75,161.3,-28.14,100,92,3.06,overcast clouds
19,Yumen,CN,40.2833,97.2,18.39,46,0,7.94,clear sky
20,Hobart,AU,-42.8794,147.3294,83.01,52,0,1.01,clear sky
21,Bluff,NZ,-46.6,168.3333,59.67,88,100,3.69,overcast clouds
22,Hovd,MN,48.0056,91.6419,-7.42,79,34,1.92,scattered clouds
23,Sioux Lookout,CA,50.1001,-91.917,7.18,85,75,5.75,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,76.84,68,100,6.8,overcast clouds
25,Xining,CN,36.6167,101.7667,16.83,60,58,2.55,broken clouds
26,Georgetown,MY,5.4112,100.3354,89.53,62,20,11.5,haze
27,Tual,ID,-5.6667,132.75,82.89,76,100,17.87,overcast clouds
28,Kaihua,CN,23.3687,104.28,52.52,80,100,9.28,overcast clouds
29,Vestmannaeyjar,IS,63.4427,-20.2734,40.55,71,100,17.74,overcast clouds
30,Barrow,US,71.2906,-156.7887,-7.58,71,100,11.5,overcast clouds
31,Port Alfred,ZA,-33.5906,26.891,68.76,86,10,8.08,clear sky
32,Atuona,PF,-9.8,-139.0333,78.08,76,23,14.14,few clouds
33,Cidreira,BR,-30.1811,-50.2056,70.83,70,27,10.65,scattered clouds
34,Qaqortoq,GL,60.7167,-46.0333,14.5,85,100,10.2,light snow
35,Nikolskoye,RU,59.7035,30.7861,27.72,93,100,15.01,snow
36,Lanzhou,CN,36.0564,103.7922,23.31,64,10,4.83,clear sky
37,Airai,TL,-8.9266,125.4092,65.03,82,100,4.23,overcast clouds
38,Yarmouth,US,41.7057,-70.2286,17.6,88,75,10.36,broken clouds
39,Pangnirtung,CA,66.1451,-65.7125,-11.2,70,100,4.61,light snow
40,Sawtell,AU,-30.3833,153.1,83.19,65,82,11.5,broken clouds
41,Imeni Poliny Osipenko,RU,52.4201,136.4853,-4.74,95,100,6.78,light snow
42,Hilo,US,19.7297,-155.09,73.13,72,40,4.61,scattered clouds
43,Portland,US,45.5234,-122.6762,43.2,72,0,7.0,clear sky
44,Cape Town,ZA,-33.9258,18.4232,66.11,73,0,3.0,clear sky
45,Puerto Quijarro,BO,-17.7833,-57.7667,73.17,99,98,2.33,overcast clouds
46,Ushuaia,AR,-54.8,-68.3,42.46,87,100,2.3,overcast clouds
47,Great Bend,US,38.3645,-98.7648,35.62,80,0,4.61,clear sky
48,Lagoa,PT,39.05,-27.9833,57.92,70,7,16.8,clear sky
49,Bredasdorp,ZA,-34.5322,20.0403,64.27,91,5,4.99,clear sky
50,Chuy,UY,-33.6971,-53.4616,63.88,80,0,6.78,clear sky
51,Erattupetta,IN,9.7,76.7833,79.9,53,6,1.28,clear sky
52,Albany,US,42.6001,-73.9662,6.75,55,100,8.99,overcast clouds
53,Ayaviri,PE,-14.8864,-70.5889,45.95,82,100,0.27,overcast clouds
54,Bilibino,RU,68.0546,166.4372,-0.13,89,100,3.29,overcast clouds
55,Seoul,KR,37.5683,126.9778,37.81,23,16,5.75,few clouds
56,Narsaq,GL,60.9167,-46.05,14.22,89,100,6.13,overcast clouds
57,Iqaluit,CA,63.7506,-68.5145,-19.32,85,100,7.02,overcast clouds
58,Nelson Bay,AU,-32.7167,152.15,86.29,64,86,9.35,overcast clouds
59,Havelock,US,34.8791,-76.9013,30.15,48,0,5.99,clear sky
60,Thompson,CA,55.7435,-97.8558,-14.64,76,75,0.0,broken clouds
61,Alice Springs,AU,-23.7,133.8833,83.75,74,75,17.27,broken clouds
62,Nur,PL,52.6683,22.3221,34.7,96,99,25.43,light snow
63,Upernavik,GL,72.7868,-56.1549,-4.05,98,100,5.97,overcast clouds
64,Olinda,BR,-8.0089,-34.8553,80.33,78,75,5.75,broken clouds
65,Bethel,US,41.3712,-73.414,13.66,50,0,7.0,clear sky
66,Yeniseysk,RU,58.4497,92.1703,5.22,94,100,2.17,overcast clouds
67,Bengkulu,ID,-3.8004,102.2655,84.09,69,100,5.59,moderate rain
68,Yabelo,ET,4.8833,38.0833,56.82,26,92,7.4,overcast clouds
69,Makakilo City,US,21.3469,-158.0858,77.32,59,0,8.05,clear sky
70,Okha,RU,53.5739,142.9478,-0.17,87,93,8.93,overcast clouds
71,Mahebourg,MU,-20.4081,57.7,83.25,78,40,10.36,scattered clouds
72,Evensk,RU,61.95,159.2333,16.21,79,100,10.45,overcast clouds
73,Port Hawkesbury,CA,45.6169,-61.3485,46.9,99,100,7.0,mist
74,Isangel,VU,-19.55,169.2667,80.19,87,100,12.3,moderate rain
75,El Rincon,HN,14.5833,-87.9333,57.9,99,100,4.16,overcast clouds
76,Galle,LK,6.0367,80.217,83.53,61,6,3.62,clear sky
77,Sturgeon Falls,CA,46.3646,-79.9326,-11.45,98,66,0.98,broken clouds
78,Coahuayana,MX,18.7333,-103.6833,69.71,87,0,2.93,clear sky
79,Tilichiki,RU,60.4667,166.1,18.75,71,60,21.52,broken clouds
80,Jamestown,US,42.097,-79.2353,6.71,84,0,4.61,clear sky
81,Cayenne,GF,4.9333,-52.3333,78.1,90,75,0.0,broken clouds
82,Saint-Philippe,RE,-21.3585,55.7679,81.99,75,85,9.71,overcast clouds
83,Bathsheba,BB,13.2167,-59.5167,75.81,78,40,14.97,scattered clouds
84,Makanya,TZ,-4.3667,37.8333,69.71,93,100,3.49,light rain
